Province/State,Country/Region,Lat,Long,Date,Number of confirmed cases
St Martin,France,18.0708,-63.0501,4/27/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/27/20,0
,France,46.2276,2.2137,4/27/20,164592
,Italy,41.87194,12.56738,4/27/20,199414
,US,40.0,-100.0,4/27/20,1000230
,Vietnam,14.058324,108.277199,4/27/20,270
French Guiana,France,3.9339,-53.1258,4/28/20,125
French Polynesia,France,-17.6797,149.4068,4/28/20,58
Guadeloupe,France,16.265,-61.551,4/28/20,149
Martinique,France,14.6415,-61.0242,4/28/20,175
Mayotte,France,-12.8275,45.166244,4/28/20,460
New Caledonia,France,-20.904305,165.618042,4/28/20,18
Reunion,France,-21.1151,55.5364,4/28/20,418
Saint Barthelemy,France,17.9,-62.8333,4/28/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/28/20,1
St Martin,France,18.0708,-63.0501,4/28/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/28/20,0
,France,46.2276,2.2137,4/28/20,167650
,Italy,41.87194,12.56738,4/28/20,201505
,US,40.0,-100.0,4/28/20,1024834
,Vietnam,14.058324,108.277199,4/28/20,270
French Guiana,France,3.9339,-53.1258,4/29/20,125
French Polynesia,France,-17.6797,149.4068,4/29/20,58
Guadeloupe,France,16.265,-61.551,4/29/20,149
Martinique,France,14.6415,-61.0242,4/29/20,175
Mayotte,France,-12.8275,45.166244,4/29/20,460
New Caledonia,France,-20.904305,165.618042,4/29/20,18
Reunion,France,-21.1151,55.5364,4/29/20,420
Saint Barthelemy,France,17.9,-62.8333,4/29/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/29/20,1
St Martin,France,18.0708,-63.0501,4/29/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/29/20,0
,France,46.2276,2.2137,4/29/20,166193
,Italy,41.87194,12.56738,4/29/20,203591
,US,40.0,-100.0,4/29/20,1051643
,Vietnam,14.058324,108.277199,4/29/20,270
French Guiana,France,3.9339,-53.1258,4/30/20,126
French Polynesia,France,-17.6797,149.4068,4/30/20,58
Guadeloupe,France,16.265,-61.551,4/30/20,151
Martinique,France,14.6415,-61.0242,4/30/20,178
Mayotte,France,-12.8275,45.166244,4/30/20,539
New Caledonia,France,-20.904305,165.618042,4/30/20,18
Reunion,France,-21.1151,55.5364,4/30/20,420
Saint Barthelemy,France,17.9,-62.8333,4/30/20,6
Saint Pierre and Miquelon,France,46.8852,-56.3159,4/30/20,1
St Martin,France,18.0708,-63.0501,4/30/20,38
Wallis and Futuna,France,-14.2938,-178.1165,4/30/20,0
,France,46.2276,2.2137,4/30/20,167326
,Italy,41.87194,12.56738,4/30/20,205463
,US,40.0,-100.0,4/30/20,1081150
,Vietnam,14.058324,108.277199,4/30/20,270
